id,channel,num_past_purch,spent_last_purchase,weeks_since_visit,browsing_minutes,shopping_cart,p_treat,p_ctrl,uplift,rank,recommended
Next_1717,Other,2,68.99,1,8,0,0.2158,0.1705,0.0453,1076,0
Next_1459,Facebook,1,54.99,7,14,1,0.0955,0.0502,0.0453,1077,0
Next_5384,Google,1,53.49,4,19,1,0.1153,0.0701,0.0452,1078,0
Next_2780,Referral,1,137.98,3,27,0,0.1547,0.1095,0.0452,1079,0
Next_2285,Google,1,48.99,5,21,1,0.1057,0.0606,0.0451,1080,0
Next_3728,Facebook,0,0.0,5,10,1,0.0904,0.0453,0.0451,1081,0
Next_2735,Instagram,0,0.0,0,27,0,0.1285,0.0834,0.0451,1082,0
Next_4206,Facebook,4,48.49,2,3,1,0.2686,0.2235,0.0451,1083,0
Next_5166,Google,2,60.99,4,17,1,0.1362,0.0912,0.045,1084,0
Next_929,Facebook,5,145.47,6,13,1,0.2551,0.2101,0.045,1085,0
Next_3721,Google,0,0.0,3,17,1,0.1001,0.0552,0.0449,1086,0
Next_3968,Google,2,66.49,5,19,1,0.125,0.0801,0.0449,1087,0
Next_3999,Google,1,24.49,7,25,1,0.0888,0.0441,0.0447,1088,0
Next_5345,Facebook,0,0.0,4,7,1,0.0957,0.051,0.0447,1089,0
Next_1616,Facebook,0,0.0,4,7,1,0.0957,0.051,0.0447,1090,0
Next_161,Facebook,1,62.49,7,14,1,0.0954,0.0507,0.0447,1091,0
Next_5054,Google,2,65.49,1,14,1,0.1909,0.1462,0.0446,1092,0
Next_1577,Facebook,1,113.98,4,10,1,0.1314,0.0868,0.0445,1093,0
Next_4260,Facebook,1,67.99,0,2,1,0.1839,0.1394,0.0445,1094,0
Next_1393,Instagram,2,59.99,1,30,0,0.189,0.1445,0.0445,1095,0
Next_4490,Facebook,2,65.99,4,5,1,0.1418,0.0974,0.0444,1096,0
Next_5614,Facebook,5,49.99,7,4,1,0.1743,0.1299,0.0444,1097,0
Next_2011,Facebook,2,135.98,4,10,1,0.1641,0.1199,0.0442,1098,0
Next_271,Instagram,2,182.97,0,4,1,0.3347,0.2905,0.0442,1099,0
Next_3382,Google,0,0.0,1,12,1,0.1155,0.0713,0.0442,1100,0
Next_3084,Google,0,0.0,1,12,1,0.1155,0.0713,0.0442,1101,0
Next_5488,Facebook,1,173.97,2,12,1,0.185,0.1408,0.0441,1102,0
Next_3411,Google,2,56.49,5,18,1,0.1212,0.0771,0.0441,1103,0
Next_2131,Google,0,0.0,0,10,1,0.126,0.0819,0.044,1104,0
Next_1832,Google,0,0.0,0,10,1,0.126,0.0819,0.044,1105,0
Next_1316,Google,1,62.99,3,17,1,0.1256,0.0816,0.044,1106,0
Next_5631,Google,0,0.0,5,22,1,0.0866,0.0426,0.044,1107,0
Next_5401,Google,0,0.0,2,14,1,0.1059,0.062,0.0438,1108,0
Next_4550,Facebook,6,133.98,5,15,1,0.3627,0.3189,0.0438,1109,0
Next_1299,Google,3,33.99,4,13,1,0.1512,0.1075,0.0437,1110,0
Next_5581,Facebook,1,49.49,1,1,1,0.1552,0.1115,0.0437,1111,0
Next_3048,Facebook,1,179.97,1,12,1,0.2119,0.1683,0.0436,1112,0
Next_5444,Other,0,0.0,5,13,0,0.0903,0.0468,0.0435,1113,0
Next_2114,Facebook,1,61.49,0,1,1,0.1787,0.1352,0.0435,1114,0
Next_2533,Google,1,119.98,4,22,1,0.1259,0.0824,0.0435,1115,0
Next_3676,Facebook,0,0.0,6,12,1,0.0827,0.0393,0.0434,1116,0
Next_2001,Facebook,5,187.96,6,17,1,0.2824,0.2391,0.0433,1117,0
Next_3879,Google,2,58.49,4,16,1,0.132,0.0887,0.0433,1118,0
Next_3337,Google,2,60.99,1,13,1,0.1854,0.1422,0.0432,1119,0
Next_4562,Facebook,4,67.49,0,7,1,0.3733,0.3301,0.0432,1120,0
Next_613,Facebook,1,49.99,2,2,1,0.1384,0.0953,0.0431,1121,0
Next_3146,Instagram,0,0.0,0,26,0,0.1245,0.0815,0.0431,1122,0
Next_5221,Instagram,0,0.0,0,26,0,0.1245,0.0815,0.0431,1123,0
Next_774,Google,5,55.99,4,15,1,0.2445,0.2014,0.0431,1124,0
Next_4175,Facebook,3,121.98,1,9,1,0.2917,0.2486,0.0431,1125,0
Next_2850,Referral,4,52.49,7,21,0,0.1423,0.0993,0.043,1126,0
Next_1154,Other,0,0.0,4,10,0,0.0955,0.0526,0.0429,1127,0
Next_2312,Other,3,79.99,6,11,0,0.1452,0.1023,0.0429,1128,0
Next_1312,Facebook,1,54.49,1,1,1,0.1551,0.1122,0.0429,1129,0
Next_2546,Google,4,60.99,7,17,1,0.138,0.0952,0.0428,1130,0
Next_2175,Google,2,49.99,6,19,1,0.1077,0.0649,0.0428,1131,0
Next_5624,Facebook,0,0.0,2,1,1,0.107,0.0644,0.0426,1132,0
Next_5151,Other,3,126.98,1,15,0,0.3142,0.2716,0.0426,1133,0
Next_5998,Facebook,2,59.99,1,1,1,0.1928,0.1502,0.0426,1134,0
Next_2772,Google,3,59.49,6,17,1,0.1273,0.0848,0.0425,1135,0
Next_1040,Google,2,52.99,1,12,1,0.1802,0.1376,0.0425,1136,0
Next_4802,Referral,3,49.49,0,18,0,0.2742,0.2317,0.0425,1137,0
Next_3882,Google,1,60.99,4,18,1,0.1116,0.0691,0.0425,1138,0
Next_5947,Google,2,53.99,6,19,1,0.1076,0.0653,0.0424,1139,0
Next_5365,Google,0,0.0,1,11,1,0.1119,0.0696,0.0423,1140,0
Next_371,Facebook,1,78.99,3,5,1,0.1307,0.0885,0.0422,1141,0
Next_4850,Other,0,0.0,1,3,0,0.1203,0.0781,0.0422,1142,0
Next_5505,Facebook,0,0.0,3,3,1,0.0979,0.0559,0.042,1143,0
Next_3263,Google,0,0.0,2,13,1,0.1025,0.0605,0.042,1144,0
Next_691,Google,0,0.0,2,13,1,0.1025,0.0605,0.042,1145,0
Next_3890,Google,2,120.98,5,21,1,0.1323,0.0903,0.042,1146,0
Next_258,Google,0,0.0,4,18,1,0.0886,0.0467,0.0419,1147,0
Next_5618,Google,0,0.0,4,18,1,0.0886,0.0467,0.0419,1148,0
Next_4327,Google,0,0.0,4,18,1,0.0886,0.0467,0.0419,1149,0
Next_3735,Google,0,0.0,4,18,1,0.0886,0.0467,0.0419,1150,0
Next_2399,Facebook,2,63.99,0,1,1,0.2206,0.1787,0.0419,1151,0
Next_4592,Facebook,2,61.49,5,5,1,0.1224,0.0805,0.0419,1152,0
Next_961,Referral,2,62.49,4,20,0,0.136,0.0941,0.0419,1153,0
Next_417,Other,9,66.49,3,25,1,0.9157,0.8739,0.0418,1154,0
Next_551,Referral,0,0.0,1,15,0,0.1154,0.0736,0.0418,1155,0
Next_3364,Referral,0,0.0,1,15,0,0.1154,0.0736,0.0418,1156,0
Next_2657,Referral,4,58.99,0,22,0,0.3621,0.3203,0.0418,1157,0
Next_5494,Other,0,0.0,5,12,0,0.0874,0.0456,0.0418,1158,0
Next_746,Google,2,59.99,0,12,1,0.2066,0.1649,0.0418,1159,0
Next_3525,Google,3,72.49,4,15,1,0.1601,0.1184,0.0417,1160,0
Next_2022,Google,2,60.49,6,19,1,0.1075,0.0658,0.0417,1161,0
Next_5610,Google,1,45.99,5,19,1,0.0991,0.0574,0.0417,1162,0
Next_3816,Facebook,5,46.99,6,2,1,0.1889,0.1473,0.0417,1163,0
Next_4410,Facebook,1,53.99,5,7,1,0.1034,0.0617,0.0416,1164,0
Next_441,Google,1,74.99,2,15,1,0.1366,0.095,0.0416,1165,0
Next_3907,Other,2,116.97,4,12,0,0.1593,0.1177,0.0416,1166,0
Next_1862,Facebook,5,148.98,6,12,1,0.2482,0.2066,0.0416,1167,0
Next_4734,Other,1,139.98,6,18,0,0.1136,0.0721,0.0416,1168,0
Next_4361,Facebook,0,0.0,7,14,1,0.0755,0.034,0.0415,1169,0
Next_5033,Facebook,0,0.0,7,14,1,0.0755,0.034,0.0415,1170,0
Next_2503,Facebook,0,0.0,7,14,1,0.0755,0.034,0.0415,1171,0
Next_4593,Google,4,50.49,0,15,1,0.3299,0.2884,0.0415,1172,0
Next_1966,Referral,0,0.0,0,13,0,0.1258,0.0844,0.0414,1173,0
Next_2138,Google,0,0.0,3,15,1,0.0938,0.0525,0.0413,1174,0
Next_505,Google,1,70.49,3,16,1,0.1216,0.0804,0.0412,1175,0
Next_1835,Google,2,173.97,1,23,1,0.2436,0.2025,0.0411,1176,0
Next_5414,Facebook,1,58.99,5,7,1,0.1033,0.0622,0.0411,1177,0
Next_4775,Instagram,0,0.0,0,25,0,0.1206,0.0795,0.0411,1178,0
Next_5303,Instagram,0,0.0,0,25,0,0.1206,0.0795,0.0411,1179,0
Next_1754,Instagram,3,61.99,0,30,0,0.2645,0.2234,0.0411,1180,0
Next_2173,Google,2,60.49,1,12,1,0.18,0.1389,0.0411,1181,0
Next_2367,Facebook,0,0.0,4,5,1,0.0896,0.0485,0.0411,1182,0
Next_4281,Facebook,1,182.97,4,13,1,0.1431,0.1021,0.041,1183,0
Next_556,Google,3,146.97,4,21,1,0.19,0.149,0.041,1184,0
Next_3062,Google,4,54.99,4,13,1,0.1878,0.1469,0.0409,1185,0
Next_3820,Google,2,63.99,0,12,1,0.2065,0.1657,0.0409,1186,0
Next_69,Referral,0,0.0,5,24,0,0.0836,0.0428,0.0408,1187,0
Next_763,Google,4,61.99,5,14,1,0.168,0.1273,0.0407,1188,0
Next_3424,Instagram,7,66.99,1,12,1,0.6824,0.6418,0.0406,1189,0
Next_3462,Google,1,59.99,5,19,1,0.0989,0.0585,0.0404,1190,0
Next_3282,Google,0,0.0,1,10,1,0.1083,0.0679,0.0404,1191,0
Next_1967,Google,0,0.0,1,10,1,0.1083,0.0679,0.0404,1192,0
Next_159,Google,0,0.0,1,10,1,0.1083,0.0679,0.0404,1193,0
Next_4937,Google,0,0.0,7,26,1,0.0722,0.0319,0.0403,1194,0
Next_1152,Facebook,3,82.49,2,3,1,0.2193,0.179,0.0403,1195,0
Next_1054,Facebook,0,0.0,3,2,1,0.0948,0.0545,0.0403,1196,0
Next_766,Google,0,0.0,4,17,1,0.0858,0.0456,0.0402,1197,0
Next_2343,Google,0,0.0,4,17,1,0.0858,0.0456,0.0402,1198,0
Next_1378,Google,0,0.0,4,17,1,0.0858,0.0456,0.0402,1199,0
Next_2515,Google,0,0.0,2,12,1,0.0992,0.059,0.0402,1200,0
Next_4799,Google,0,0.0,2,12,1,0.0992,0.059,0.0402,1201,0
Next_414,Google,0,0.0,0,8,1,0.1182,0.0781,0.0401,1202,0
Next_5533,Google,0,0.0,0,8,1,0.1182,0.0781,0.0401,1203,0
Next_1649,Google,0,0.0,0,8,1,0.1182,0.0781,0.0401,1204,0
Next_2857,Referral,2,67.99,5,21,0,0.1209,0.0807,0.0401,1205,0
Next_1326,Referral,0,0.0,1,14,0,0.1117,0.0718,0.04,1206,0
Next_285,Referral,0,0.0,1,14,0,0.1117,0.0718,0.04,1207,0
Next_169,Referral,0,0.0,1,14,0,0.1117,0.0718,0.04,1208,0
Next_4012,Other,2,59.99,6,10,0,0.1121,0.0721,0.0399,1209,0
Next_1703,Facebook,0,0.0,5,7,1,0.0819,0.042,0.0399,1210,0
Next_2053,Facebook,0,0.0,5,7,1,0.0819,0.042,0.0399,1211,0
Next_1973,Google,2,136.47,0,19,1,0.2494,0.2095,0.0398,1212,0
Next_1869,Instagram,1,42.99,4,32,0,0.1036,0.0639,0.0398,1213,0
Next_2201,Facebook,1,55.99,4,4,1,0.1092,0.0695,0.0397,1214,0
Next_5777,Referral,1,66.49,4,21,0,0.1114,0.0718,0.0396,1215,0
Next_919,Facebook,3,133.98,5,8,1,0.1669,0.1274,0.0396,1216,0
Next_2180,Google,1,71.49,7,24,1,0.0854,0.0459,0.0395,1217,0
Next_2948,Google,2,68.99,1,12,1,0.1799,0.1404,0.0395,1218,0
Next_1492,Referral,0,0.0,0,12,0,0.1219,0.0824,0.0394,1219,0
Next_3523,Facebook,0,0.0,4,4,1,0.0867,0.0473,0.0394,1220,0
Next_3052,Facebook,0,0.0,4,4,1,0.0867,0.0473,0.0394,1221,0
Next_1339,Google,1,64.49,6,21,1,0.0905,0.0511,0.0394,1222,0
Next_3445,Instagram,0,0.0,2,28,0,0.098,0.0587,0.0394,1223,0
Next_1707,Referral,2,58.99,1,16,0,0.1852,0.1459,0.0393,1224,0
Next_3966,Google,2,80.99,1,13,1,0.185,0.1458,0.0393,1225,0
Next_2788,Google,1,52.99,1,11,1,0.14,0.1008,0.0393,1226,0
Next_294,Instagram,0,0.0,0,24,0,0.1168,0.0776,0.0392,1227,0
Next_5429,Instagram,0,0.0,0,24,0,0.1168,0.0776,0.0392,1228,0
Next_1455,Instagram,0,0.0,0,24,0,0.1168,0.0776,0.0392,1229,0
Next_3943,Facebook,3,96.98,2,4,1,0.2252,0.186,0.0392,1230,0
Next_4373,Google,4,51.99,1,13,1,0.2785,0.2394,0.0391,1231,0
Next_5504,Google,3,125.98,3,18,1,0.2002,0.1612,0.0389,1232,0
Next_4393,Referral,1,54.49,5,22,0,0.0989,0.0599,0.0389,1233,0
Next_5820,Facebook,3,75.99,5,3,1,0.1442,0.1053,0.0389,1234,0
Next_2170,Google,0,0.0,5,19,1,0.0784,0.0395,0.0389,1235,0
Next_5500,Referral,1,176.97,3,27,0,0.154,0.1152,0.0389,1236,0
Next_4731,Google,3,52.49,4,12,1,0.1463,0.1076,0.0388,1237,0
Next_4703,Google,6,61.99,2,20,1,0.415,0.3763,0.0387,1238,0
Next_4333,Referral,2,71.99,0,17,0,0.2182,0.1795,0.0387,1239,0
Next_17,Other,2,103.98,6,12,0,0.1189,0.0803,0.0386,1240,0
Next_1626,Google,1,200.97,4,25,1,0.1371,0.0985,0.0386,1241,0
Next_3266,Google,3,73.99,3,13,1,0.1737,0.1352,0.0385,1242,0
Next_5417,Google,0,0.0,4,16,1,0.083,0.0444,0.0385,1243,0
Next_3955,Google,0,0.0,4,16,1,0.083,0.0444,0.0385,1244,0
Next_5901,Google,0,0.0,4,16,1,0.083,0.0444,0.0385,1245,0
Next_1005,Other,4,117.98,4,12,0,0.243,0.2045,0.0385,1246,0
Next_4291,Google,6,59.99,4,16,1,0.3038,0.2654,0.0385,1247,0
Next_4394,Facebook,3,197.97,3,14,1,0.2578,0.2194,0.0384,1248,0
Next_4526,Google,3,46.99,6,14,1,0.1159,0.0776,0.0384,1249,0
Next_2531,Google,1,47.99,4,15,1,0.1014,0.0631,0.0383,1250,0
Next_2927,Google,2,39.99,6,16,1,0.0978,0.0595,0.0383,1251,0
Next_584,Google,0,0.0,0,7,1,0.1145,0.0762,0.0383,1252,0
Next_3688,Google,0,0.0,0,7,1,0.1145,0.0762,0.0383,1253,0
Next_5636,Referral,0,0.0,2,15,0,0.0991,0.0609,0.0382,1254,0
Next_4312,Referral,1,79.99,4,21,0,0.1112,0.0731,0.0381,1255,0
Next_4266,Google,1,67.99,5,18,1,0.0957,0.0577,0.0379,1256,0
Next_5078,Google,2,59.99,2,11,1,0.1515,0.1137,0.0378,1257,0
Next_379,Instagram,0,0.0,1,25,0,0.1037,0.0659,0.0378,1258,0
Next_5110,Instagram,0,0.0,1,25,0,0.1037,0.0659,0.0378,1259,0
Next_3522,Facebook,0,0.0,4,3,1,0.0839,0.0461,0.0377,1260,0
Next_5264,Facebook,0,0.0,4,3,1,0.0839,0.0461,0.0377,1261,0
Next_975,Other,1,53.49,4,7,0,0.1091,0.0714,0.0377,1262,0
Next_3792,Google,1,64.49,6,20,1,0.0875,0.0499,0.0377,1263,0
Next_1945,Facebook,2,132.98,3,6,1,0.1677,0.13,0.0377,1264,0
Next_1605,Other,3,114.98,6,11,0,0.1446,0.107,0.0376,1265,0
Next_4849,Other,6,59.99,1,18,0,0.5318,0.4942,0.0376,1266,0
Next_1251,Google,3,59.49,5,13,1,0.1302,0.0926,0.0376,1267,0
Next_3959,Referral,0,0.0,0,11,0,0.118,0.0805,0.0376,1268,0
Next_1781,Referral,3,58.99,2,16,0,0.1997,0.1622,0.0375,1269,0
Next_3249,Google,5,137.98,4,22,1,0.292,0.2545,0.0375,1270,0
Next_753,Instagram,2,55.99,3,28,0,0.1335,0.0961,0.0375,1271,0
Next_3358,Instagram,0,0.0,0,23,0,0.1132,0.0757,0.0374,1272,0
Next_3441,Instagram,0,0.0,0,23,0,0.1132,0.0757,0.0374,1273,0
Next_3150,Instagram,0,0.0,0,23,0,0.1132,0.0757,0.0374,1274,0
Next_834,Instagram,0,0.0,0,23,0,0.1132,0.0757,0.0374,1275,0
Next_471,Instagram,0,0.0,0,23,0,0.1132,0.0757,0.0374,1276,0
Next_5847,Google,0,0.0,6,21,1,0.0716,0.0342,0.0374,1277,0
Next_4336,Instagram,1,71.99,1,28,0,0.1425,0.1052,0.0374,1278,0
Next_2553,Google,0,0.0,5,18,1,0.0758,0.0385,0.0373,1279,0
Next_4367,Google,0,0.0,7,24,1,0.0675,0.0303,0.0372,1280,0
Next_1630,Google,1,64.99,2,12,1,0.1244,0.0873,0.0372,1281,0
Next_1432,Other,1,176.97,1,14,0,0.2058,0.1687,0.0371,1282,0
Next_5964,Instagram,0,0.0,3,29,0,0.0868,0.0497,0.0371,1283,0
Next_1070,Facebook,3,81.99,0,3,1,0.2832,0.2462,0.0371,1284,0
Next_5683,Google,1,60.99,7,22,1,0.08,0.043,0.037,1285,0
Next_3540,Referral,0,0.0,4,19,0,0.0829,0.0459,0.037,1286,0
Next_250,Other,1,59.99,6,11,0,0.0914,0.0544,0.037,1287,0
Next_2501,Google,0,0.0,4,15,1,0.0803,0.0433,0.0369,1288,0
Next_853,Google,2,133.98,2,17,1,0.1801,0.1432,0.0369,1289,0
Next_3893,Facebook,6,94.98,4,9,1,0.3532,0.3164,0.0369,1290,0
Next_1079,Google,2,61.99,0,10,1,0.195,0.1581,0.0368,1291,0
Next_4668,Google,2,70.99,5,15,1,0.1099,0.0731,0.0368,1292,0
Next_5490,Google,1,78.49,0,11,1,0.1614,0.1246,0.0368,1293,0
Next_1187,Facebook,0,0.0,7,11,1,0.0683,0.0315,0.0368,1294,0
Next_3234,Google,0,0.0,2,10,1,0.0929,0.0562,0.0367,1295,0
Next_3497,Other,0,0.0,3,4,0,0.0916,0.0549,0.0367,1296,0
Next_114,Referral,2,56.99,2,15,0,0.1561,0.1193,0.0367,1297,0
Next_2401,Instagram,3,173.97,1,2,1,0.3396,0.3029,0.0367,1298,0
Next_5367,Google,1,64.99,4,15,1,0.1012,0.0646,0.0367,1299,0
Next_1672,Facebook,0,0.0,5,5,1,0.0766,0.04,0.0366,1300,0
Next_2847,Facebook,0,0.0,5,5,1,0.0766,0.04,0.0366,1301,0
Next_1533,Other,4,54.99,7,6,0,0.135,0.0984,0.0366,1302,0
Next_4306,Google,1,135.98,6,23,1,0.0958,0.0592,0.0366,1303,0
Next_3192,Google,1,107.98,3,16,1,0.1211,0.0845,0.0365,1304,0
Next_5464,Google,0,0.0,0,6,1,0.1109,0.0744,0.0365,1305,0
Next_5833,Referral,0,0.0,2,14,0,0.0959,0.0594,0.0365,1306,0
Next_552,Referral,0,0.0,1,12,0,0.1048,0.0684,0.0364,1307,0
Next_1145,Google,1,66.99,5,17,1,0.0926,0.0562,0.0364,1308,0
Next_4011,Google,3,125.98,0,19,1,0.3021,0.2659,0.0363,1309,0
Next_4204,Instagram,0,0.0,4,31,0,0.0793,0.0431,0.0362,1310,0
Next_5098,Other,3,67.49,4,5,0,0.1615,0.1253,0.0362,1311,0
Next_4808,Google,3,55.99,5,12,1,0.1262,0.09,0.0362,1312,0
Next_3281,Google,1,52.49,4,14,1,0.0981,0.0619,0.0362,1313,0
Next_3400,Facebook,2,62.99,5,2,1,0.1112,0.075,0.0361,1314,0
Next_4210,Facebook,0,0.0,4,2,1,0.0811,0.045,0.0361,1315,0
Next_51,Google,8,55.99,7,17,1,0.3149,0.2788,0.0361,1316,0
Next_4325,Facebook,1,57.49,5,4,1,0.0937,0.0576,0.0361,1317,0
Next_3235,Instagram,2,69.99,5,31,0,0.1087,0.0726,0.0361,1318,0
Next_5876,Instagram,0,0.0,1,24,0,0.1004,0.0643,0.0361,1319,0
Next_3810,Instagram,0,0.0,1,24,0,0.1004,0.0643,0.0361,1320,0
Next_2292,Google,2,81.99,6,17,1,0.1005,0.0645,0.036,1321,0
Next_2357,Instagram,0,0.0,2,26,0,0.0918,0.0559,0.036,1322,0
Next_1233,Google,0,0.0,6,20,1,0.0692,0.0333,0.0359,1323,0
Next_2478,Google,2,63.49,5,14,1,0.1065,0.0706,0.0359,1324,0
Next_1189,Google,6,58.49,0,24,1,0.5358,0.4999,0.0359,1325,0
Next_4766,Google,0,0.0,5,17,1,0.0733,0.0375,0.0358,1326,0
Next_5522,Google,0,0.0,5,17,1,0.0733,0.0375,0.0358,1327,0
Next_1958,Google,0,0.0,5,17,1,0.0733,0.0375,0.0358,1328,0
Next_2509,Google,0,0.0,5,17,1,0.0733,0.0375,0.0358,1329,0
Next_4537,Facebook,1,60.99,5,4,1,0.0936,0.0579,0.0358,1330,0
Next_2192,Google,0,0.0,7,23,1,0.0653,0.0295,0.0357,1331,0
Next_1530,Instagram,0,0.0,0,22,0,0.1096,0.0739,0.0357,1332,0
Next_2259,Instagram,0,0.0,0,22,0,0.1096,0.0739,0.0357,1333,0
Next_1768,Instagram,0,0.0,0,22,0,0.1096,0.0739,0.0357,1334,0
Next_5611,Instagram,0,0.0,0,22,0,0.1096,0.0739,0.0357,1335,0
Next_664,Instagram,0,0.0,0,22,0,0.1096,0.0739,0.0357,1336,0
Next_4701,Instagram,0,0.0,0,22,0,0.1096,0.0739,0.0357,1337,0
Next_167,Other,0,0.0,6,11,0,0.0722,0.0366,0.0356,1338,0
Next_4036,Instagram,1,55.99,0,25,0,0.1506,0.115,0.0356,1339,0
Next_2528,Google,1,149.97,0,17,1,0.1916,0.156,0.0355,1340,0
Next_637,Google,6,46.99,0,22,1,0.5181,0.4826,0.0355,1341,0
Next_303,Google,2,49.99,2,9,1,0.1426,0.1071,0.0355,1342,0
Next_3560,Google,1,62.99,0,9,1,0.1521,0.1167,0.0355,1343,0
Next_3649,Google,4,59.99,3,11,1,0.2032,0.1678,0.0354,1344,0
Next_5609,Google,1,58.99,5,16,1,0.0897,0.0543,0.0354,1345,0
Next_43,Referral,1,56.49,5,20,0,0.0926,0.0572,0.0354,1346,0
Next_2322,Google,1,74.99,0,10,1,0.1567,0.1213,0.0354,1347,0
Next_1384,Google,0,0.0,4,14,1,0.0776,0.0422,0.0354,1348,0
Next_757,Google,0,0.0,4,14,1,0.0776,0.0422,0.0354,1349,0
Next_4565,Google,1,66.49,1,10,1,0.1355,0.1002,0.0354,1350,0
Next_3529,Facebook,0,0.0,6,7,1,0.0699,0.0346,0.0353,1351,0
Next_203,Facebook,0,0.0,7,10,1,0.066,0.0307,0.0353,1352,0
Next_5835,Google,2,68.99,1,10,1,0.1694,0.1342,0.0352,1353,0
Next_234,Referral,1,71.99,2,16,0,0.1282,0.093,0.0352,1354,0
Next_2564,Facebook,0,0.0,5,4,1,0.0741,0.039,0.0351,1355,0
Next_5584,Google,0,0.0,2,9,1,0.0899,0.0548,0.0351,1356,0
Next_3403,Google,3,61.99,2,10,1,0.183,0.1481,0.035,1357,0
Next_4750,Facebook,8,139.98,6,20,1,0.4933,0.4584,0.0349,1358,0
Next_4310,Referral,0,0.0,2,13,0,0.0928,0.058,0.0348,1359,0
Next_733,Google,4,38.49,6,10,1,0.1288,0.094,0.0348,1360,0
Next_4852,Google,0,0.0,0,5,1,0.1073,0.0726,0.0348,1361,0
Next_4303,Google,4,60.99,5,11,1,0.1534,0.1187,0.0348,1362,0
Next_2583,Facebook,0,0.0,4,1,1,0.0785,0.0439,0.0346,1363,0
Next_1566,Other,0,0.0,4,5,0,0.081,0.0464,0.0346,1364,0
Next_5708,Other,5,101.98,5,10,0,0.2471,0.2126,0.0346,1365,0
Next_2083,Google,8,54.99,6,18,1,0.3612,0.3267,0.0345,1366,0
Next_1685,Google,2,76.49,5,14,1,0.1064,0.0719,0.0345,1367,0
Next_5124,Facebook,2,139.98,0,6,1,0.2514,0.217,0.0345,1368,0
Next_3223,Google,4,143.98,2,21,1,0.3005,0.2661,0.0345,1369,0
Next_2213,Google,3,38.49,0,8,1,0.2273,0.1928,0.0344,1370,0
Next_2548,Instagram,0,0.0,1,23,0,0.0971,0.0627,0.0344,1371,0
Next_4091,Instagram,0,0.0,1,23,0,0.0971,0.0627,0.0344,1372,0
Next_5381,Facebook,2,67.99,6,3,1,0.0985,0.0641,0.0344,1373,0
Next_5440,Referral,1,64.99,6,22,0,0.0846,0.0502,0.0344,1374,0
Next_845,Google,0,0.0,5,16,1,0.0709,0.0366,0.0343,1375,0
Next_5844,Google,0,0.0,5,16,1,0.0709,0.0366,0.0343,1376,0
Next_5067,Instagram,3,49.49,2,25,0,0.176,0.1418,0.0342,1377,0
Next_1548,Other,0,0.0,7,13,0,0.0659,0.0317,0.0342,1378,0
Next_4035,Google,3,133.98,7,19,1,0.1158,0.0816,0.0342,1379,0
Next_5834,Google,3,75.99,2,11,1,0.1882,0.154,0.0342,1380,0
Next_5552,Facebook,2,129.98,3,4,1,0.1579,0.1237,0.0342,1381,0
Next_2116,Instagram,5,71.99,5,29,0,0.2,0.1658,0.0341,1382,0
Next_3613,Facebook,1,89.98,7,9,1,0.0806,0.0465,0.0341,1383,0
Next_407,Instagram,2,72.99,5,30,0,0.1052,0.0711,0.034,1384,0
Next_4218,Facebook,1,191.97,4,10,1,0.1302,0.0962,0.034,1385,0
Next_5840,Instagram,0,0.0,0,21,0,0.1061,0.0721,0.034,1386,0
Next_4133,Instagram,0,0.0,0,21,0,0.1061,0.0721,0.034,1387,0
Next_3717,Instagram,0,0.0,0,21,0,0.1061,0.0721,0.034,1388,0
Next_1418,Instagram,0,0.0,0,21,0,0.1061,0.0721,0.034,1389,0
Next_1213,Instagram,0,0.0,0,21,0,0.1061,0.0721,0.034,1390,0
Next_1113,Instagram,0,0.0,3,27,0,0.0812,0.0473,0.0339,1391,0
Next_2082,Google,0,0.0,4,13,1,0.0751,0.0412,0.0339,1392,0
Next_5048,Google,0,0.0,4,13,1,0.0751,0.0412,0.0339,1393,0
Next_2023,Google,4,132.98,1,21,1,0.3379,0.304,0.0339,1394,0
Next_4194,Google,1,73.49,6,18,1,0.0818,0.048,0.0338,1395,0
Next_4510,Instagram,1,68.99,4,30,0,0.0968,0.063,0.0338,1396,0
Next_844,Facebook,1,65.49,5,3,1,0.0906,0.0568,0.0338,1397,0
Next_5335,Facebook,1,79.99,4,2,1,0.1021,0.0683,0.0338,1398,0
Next_1663,Other,1,60.99,6,9,0,0.0855,0.0518,0.0337,1399,0
Next_1740,Facebook,0,0.0,5,3,1,0.0716,0.038,0.0336,1400,0
Next_2645,Facebook,0,0.0,5,3,1,0.0716,0.038,0.0336,1401,0
Next_5238,Google,0,0.0,2,8,1,0.087,0.0535,0.0335,1402,0
Next_5673,Google,3,75.99,5,12,1,0.1259,0.0924,0.0335,1403,0
Next_1429,Referral,0,0.0,7,25,0,0.063,0.0297,0.0333,1404,0
Next_2253,Referral,0,0.0,6,22,0,0.0668,0.0335,0.0333,1405,0
Next_4728,Google,3,51.99,0,9,1,0.2334,0.2001,0.0333,1406,0
Next_861,Other,1,55.99,1,1,0,0.1412,0.1079,0.0333,1407,0
Next_2739,Referral,3,64.99,0,16,0,0.2596,0.2264,0.0332,1408,0
Next_1854,Facebook,3,137.97,4,5,1,0.1757,0.1425,0.0332,1409,0
Next_4316,Referral,6,54.99,2,23,0,0.4149,0.3817,0.0332,1410,0
Next_5911,Referral,1,61.99,4,17,0,0.0979,0.0647,0.0332,1411,0
